,data,label
10,"UMENGAMELI Jacob Zuma usenxuse ngokusemthethweni uMvikeli woMphakathi oshiyayo u-Advocate Thuli Madonsela ukuba amnikeze isiqiniseko lungakapheli usuku lwanamuhla (ngoLwesibili) sokuthi ngeke aluphothule uphenyo lwakhe engazange amnike ithuba lokupheka ngemibuzo ofakazi.
Esitatimendeni, ihhovisi likaMengameli lithe uZuma ugxeke u-Adv Madonsela ngokumnqabela ukuba naye azibuzele kofakazi abone namaphepha ophenyo nge-state capture. 
",politics
11,"UMA ngibuka okwenzeke e-USA ngenyanga edlule nangonyaka odlule wonke ngingasho ukuthi cishe * -2017 uzoshaya uzwele ngempela kumuntu ophila eNingizimu Afrika.
Okokuqala nje uMnuz Donald Trump wathi uzozikhokhisa intela ethethe xaxa izinkampani ezisuka e-USA zidilize abantu bakhona ngoba zikhetha ukubhunguka kuleliya lizwe ziyokwakha amafemu emazweni okuzoshibha ukukhiqiza kuwona. 
",politics
12,"USAKHUNGATHEKILE umndeni wowesilisa oshone ngeSonto ekuseni ngemuva kokuphuza umuthi ethi ukhipha idliso. UMnuz Bheki Hlongwane (46) waseMafefetheni, eBergville, obehlala ehostela eDalton eThekwini, kuthiwa ubuye nomuthi wokuphalaza okungaziwa ukuthi uwuthathephi okuthe eqeda ukuwuphuza, wakhihliza amagwebu.
Kuthiwa abebenaye bamphuzise ubisi bamphuthumisa esibhedlela kodwa kwathiwa ufike esibhedlela esevele eshonile. Isolezwe liye ehostela lafica abafowabo bakamufi begcwele indlu abehlala kuyo besashaqekile. Bakhombise intatheli umuthi okuthiwa ubephalaza ngawo. Nabantu abebehleli amaqoqwana kuleli hostela bebeyibabaza le ndaba kucaca nje ukuthi iyimpicabadala. 
","crime, law and justice"
13,"
UMENGAMELI we-EFF uMnuz Julius Malema ukhwele wadilika kuMengameli Jacob Zuma emsola ngokuthi uzonda imfundo ngokuvumela kugqunywe emajele abafundi abaqhuba umkhankaso wemfundo yamahhala kuleli.

Ekhuluma ngaphandle kwasejele laseWestville, eThekwini izolo, ngemuva kokuvakashela ezitokisini omunye wabafundi abahola i-#Fees Must Fall eKZN, uBongonkosi ""Education"" Khanyile, uMalema uthe uKhanyile ugqunywe ejele ukuze kujatshuliswe uZuma.
","crime, law and justice"
14,"KUNDIZE izihlalo kwaba wubumayemaye eNkantolo yeMantshi eScottburgh izolo ngesikhathi iziboshwa esezitoke iminyaka emihlanu zijomba ebhokisini zishaya abashushisi ababili ngezihlalo zidinwa wukuthi bafuna kuhlehle icala.
Umthombo weSolezwe uthe lokhu kwenzeke emini ngesikhathi abashushisi benza izethulo ecaleni lamadoda awu-25 nowesifazane oyedwa ababoshwa ngo-2012 ngecala lokweba amakhebuli.
","crime, law and justice"
15,"UFANISE indodana yakhe noJosefa waseBhayibhelini, unina wesiboshwa esidonsa isigwebo seminyaka engu- 15 esigile izimanga siphasa * -matric ngamalengiso. 
UNkk Gladys Ngcobo (53) ongunina kaKwandokuhle Ngcobo (22) ogwetshelwe ejele laseWestville ophase ukudlula bonke abafundi ngaphansi koMnyango wezokuHlunyeleliswa kweziMilo, uthe zimthokozise kakhulu izindaba zokuphumelela kwendodana yakhe. 
","crime, law and justice"
16,"UGCINWE esitokisini owesifazane waseHammarsdale okuthiwa uncishe umoya usana lwakhe olunezinyanga eziyisishiyagalolunye ngokulimboza ngesiqamelo ebusweni, laze lashona ngemuva kwengxabano noyise walo ngoLwesithathu ebusuku.
UNksz Hlengiwe Radebe (23) kuthiwa uvele kafushane eNkantolo yeMantshi yaseMpumalanga ngoLwesihlanu, icala lakhe lahlehliselwa isonto elizayo lapho okulindeleke ukuthi afake isicelo sebheyili.
","crime, law and justice"
17,"UMGCINIMAFA-JIKELELE we-ANC, uDkt Zweli Mkhize, uyaziqhelelanisa nombiko wabezindaba oveza igama lakhe kuthiwa uphakanyiselwe ekutheni abe yiPhini likaMnuz Cyril Ramaphosa, yena ovela ekwesobumengameli njengoba kubhekwe engqungqutheleni yokukhetha ubuholi bukazwelonke ezoba ngoDisemba.
Ekhuluma ohlelweni lndaba kwiGagasi FM izolo, uMkhize unxuse ukuthi amalungu ombutho ayeke ukulokhu ephakamisa amagama njengoba kubhekwe engqungqutheleni.
",politics
18,"INKAMPANI yomculi wowokholo ongasekho iphoxekile ngesithombe sowesifazane oshuthe eqhwakele ethuneni lakhe. Isithombe sisabalale ezinkundleni zokuxhumana.
AbeNcwane Communications bathi ukuba yiqhawe nosaziwayo kukaSfiso Ncwane akusho ukuthi abantu abenze noma yini ethuneni lakhe. Bakusho lokhu emuva kokuthi owesifazane okusolwa ukuthi ubeye komunye umngcwabo ngempelasonto eshuthe emamatheka ehlezi ethuneni lakhe egqoke nezingubo ezimnyama. Ugxekwe kakhulu abanye, bembiza ngethatha lowesifazane ozifunela udumo. 
",society
19,"UKUKHULELWA eneminyaka ewu-16 efunda * -grade 11, wahlala iminyaka emithathu engafundi ekhulisa ingane, kumvuse emaqandeni umfundi waseMkhuphula, eMsinga, obuyele ka-matric wadabula zonke izifundo.
UThobile Mthiyane (23) wafunda * -matric ngo-2010 enengane encane wawufeyila, kodwa kuleli sonto ubemdibi munye nabafundi baKwaZulu-Natal abebeklonyeliswa wuNgqongqoshe wezeMfundo kulesi sifundazwe ababaqwaqwade bonke emakhanda.
",society
20,"UNOVALO umndeni kaSihlalo weziNduna zaKwaZulu-Natal, uMnuz Vusumuzi Mthethwa, ngemuva kokudutshulwa kwendodana yakhe ngentululwane yezinhlamvu isendleleni ebheke ekhaya.
Ngokusho kukaMthethwa indodaba yakhe, uMnuz Thobani Mthethwa (26), iqale ngokuyoshiya ezinye izingane esebenza nazo, kuthe isiphuma kozishiya kwavumbuka amadoda angaziwa adedela inhlamvu ebhekise emotweni yayo, yaze yayobhajwa esihlahleni.
","crime, law and justice"
21,"KUTHIWA beyidla amagalani futhi ilayishe ngokweqile itekisi okushone kuyo izingane ezine ebeziya esikoleni, kwalimala ezinye eNtuzuma, eThekwini, izolo.
Leli tekisi okuthiwa belilayishe abagibeli abangu-22, litholane phezulu nebhasi kaMasipala weTheku lizama ukudlula enye imoto. Kule ngozi eshiye abantu bethuthumela ngosuku lokuvulwa kwezikole, kushone abafundi abangabafana, base-Sivananda Technical High noyintombazane waseSibonelo High.
","crime, law and justice"
22,"UFISA sengathi ngabe uyakwazi ukusicisha emiqondweni yabantu isigameko esisematheni, owesifazane ogxekwe ezinkundleni zokuxhumana ngoba eshuthe eqhwakele ethuneni lomculi ongasekho uSfiso Ncwane. UNkk Nondumiso Biyase waseMgungundlovu, utshele Isolezwe ukuthi ufisa kufinyelele emndenini wakwaNcwane ukuxolisa kwakhe ngesenzo sokushutha ethuneni.
UNkk Biyase othe washonelwa umyeni eneminyaka engu-22, uthe ubengazi ukuthi ukushutha kwakhe ethuneni likaNcwane kuzonyakazisa isizwe kangaka.
","crime, law and justice"
23,"Sekukaningi ngithola imibuzo izungeza ekutheni abesifazane abatshelwa ukuthi bayabanda ocansini; bebuza ukuthi ikhona yini into enjalo, uma ikhona kungabe yini imbangela? Le mibuzo iyaqhubeka ithi uma kungekho into ewukubanda ocansini, yini eyenza abesilisa okanye abesifazane baze baphimise la magama ahlabayo?
Ekuhlahleleni le mibuzo, ngiyafisa siphinde sibuke indima yabefundisi. Ngikhuluma ngabagcotshwa ekufundiseni ngocansi ikakhulukazi labo abangena emshadweni. Lokhu kubalulekile ngenxa yomthamo omkhulu wolwazi olunezimbomo eziningi, esizithola njengoba abantu bakithi bekhala ngapha nangapha ngento eyodwa: ewucansi.
",society
24,"UMFUNDI waseNdengetho High School KwaNdengezi uqophe umlando eba ngowokuqala emlandweni wakulesi sikole ukuphasa kahle athole o-A kwiMaths neSayensi, nakuzo zonke ezinye izifundo abezenza kwa-Grade 12.
UBheka Kunene (19) waseDesai, eMariannhill, uthole o-A abayisikhombisa kuzo zonke izifundo zakhe. Lokhu bekungakaze kwenzeke emlandweni walesi sikole selokhu saba khona.
",education
25,"UYOKWENZA izifundo zobudokotela eNyuvesi yaKwaZulu-Natal umfundi waseMavela High oPhondweni eJozini okhule elusa izinkomo ehamba nebanga elide uma eya noma ebuya esikoleni.
UBongumenzi Simelane (17) umenyezelwe nabanye abafundi abaphase ngamalengiso yize bebefunda ngaphansi kwengcindezi. Ubonga uyise owamyekisa ukwelusa izinkomo, wathi abhekane nezincwadi kuphela ekuqaleni konyaka.
",education
26,"BANOVALO lokuthi luzoqala phansi udlame oludlule nenqwaba yemiphefumulo ehostela laseMlazi iGlebelands njengoba kuqhubeka ukuthathwa kwemali yosomatekisi ngodli yiqembu elalifuna ukubagada ngenkani.
Abahlali basehostela banovalo lokuthi kungenzeka kuphinde kuqale phansi ukubulawa kwabantu njengoba liqhubeka nokuqoqa imali iqembu labantu okuthiwa bahlala kuleli hostela. Leli qembu kuthiwa liqale ukuqoqa imali ngejozi kubashayeli bamatekisi ahambela ehostela ngo-Okthoba nyakenye, emuva kokuthi osomatekisi benqabe ukubavumela ukuthi babaqaphe. 
","crime, law and justice"
27,"NJALO kabili ngenyanga sizokuphathela ingosi ehlaziya kabanzi ngezinkanyezi. Sizobe sihlaziyelwa nguMnuz El-Sun Nzama oyi-Astrologer. UNzama ufunde eThurburn School of Astrology D.M.S. Astrol; wathola iziqu eRod Suskin School of Astrology, kuyimanje wenza iHonours kwiVedic Joytish Astrology, Hellenistic and Urianian Astrology kanti uyilunga eligcwele le Astrological Society of South Africa (ASSA). UNzama uyatholakala kwinombolo ethi 072 388 4419 ngezikhathi zomsebenzi. Namuhla usihlaziyela i-Aquarius okungabantu abazalwa kusukela ngoJanuwari 21 kuya kuFebhuwari 20.

",education
28,"NJENGOBA elokhu eqhamukile amagama abantu abasembangweni wokuhola i-ANC, umhlaziyi wezepolitiki ozimele uMnuz Xolani Dube yena uthi ubona uNgqongqoshe ehhovisi likaMengameli Jacob Zuma, uMnuz Jeff Radebe kunguye ongangena khaxa kulesi sikhundla.
Engxoxweni neSolezwe izolo, uDube uthe uRadebe nguyena mholi oyisibonelo sokuthi ilungu le-ANC kumele libe umuntu onjani.
",politics
29,"USHAYA phansi ngonyawo umkhulu womzukulu okuthiwa udlwengulwe wumakhelwane, osefuna ukukhokha * -R1000 nembuzi ukuhlawula umzukulu wakhe oneminyaka ewu-15.
Lo mkhulu waseNkanini eMuden ngaseMsinga, esiligodlile igama lakhe ngenhloso yokuvikela umzukulu wakhe, uthe akazimisele ukuthuthukisa isihlava esesivamisile kule ndawo ukuthi uma kudlwengulwe owesifazane, umndeni wakhe ugcine usuxoxisene nomdlwenguli, ukhokhelwe * -R1000 okanye imbuzi.
","crime, law and justice"
30,"UMPHAKATHI waseMalukazi ngaseMlaza ufuna adingiswe owesifazane osolwa ngokucwasa owesilisa onebala elimhlophe, okuthiwa wamgenca ngocelemba wavuka esibhedlela. Ukusho lokhu enkantolo.
Umndeni kaMnuz Mlungisi Makhanya (32) ongakwazi kahle ukuhamba ngenxa yokukhubazeka, uthi ukhathele ukuhlukunyezwa nguNksz Phindile Ngcobo (44), odedelwe ngaphandle kwebheyili yinkantolo yeMantshi eThekwini, ngoLwesibili, ngecala lokushaya uMakhanya. 
","crime, law and justice"
31,"NGONYAKA odlule sibhale ngohlelo lwentuthuko kamacaphunakusale waseThekwini uMnuz Vivian Reddy, i-Oceans Umhlanga, ka-R3.8 billion lapho ayemema khona umphakathi ukuthi uthenge amasheya ehhotela lomtakabani i-Radisson Blu ezoba kule ndawo yomtakabani.
Kule nyanga amasheya e-Radisson Blu aqale ukudayiswa kanti ababefake izicelo bathunyelelwe ama-emails abazisa ukuthi izicelo zabo ziphumelele.
","economy, business and finance"
32,"ASEQALILE ukuvalwa amanzi kuzo zonke izindawo ezikuMasipala weTheku njengoba kuvela ukuthi abantu abawongi ngokwanele. NgeSonto abengekho amanzi eMlaza, Burlington naseChatsworth kanti izolo abantu baKwaNdengezi, Klaarwater, St Wendolins, Savannah Park naseShallcross bavuke bengenawo.
INhloko yoPhiko lwezokuXhumana kuMasipala weTheku, uNksz Tozi Mthethwa, ithe ngenxa yokuthi isomiso siyaqhubeka amanzi ayancipha emadamini amakhulu.
",society
33,"UBUKEKA usekude ukuphela umsindo othinta iqembu elibusayo i-ANC mayelana nomkhankaso walo wokubeka kabi amanye amaqembu epolitiki. Manje sekuvela ukuthi ezinye izikhulu ze-ANC ziyawazi lo mkhankaso kodwa ngakolunye uhlangatho i-ANC iyaphika.
 Ngokwemibiko yayizolo kuthiwa uNksz Sihle Bolani wayiqopha inkulumo yakhe ngesikhathi enomhlangano noMnuz Ignatius Jacobs oyimenenja kwi-ANC. Kulowo mhlangano uNksz Bolani wadlulisela umbiko wakhe wokuqala kuJacobs emkhombisa ukuthi kuyishubele i-ANC okhethweni. Kubikwa ukuthi uKhongolose wayeshodelwa wu-R50 million ekutheni aqhubeke nomkhankaso wokubeka kabi amaqembu aphikisayo.
",politics
34,"ABAFUNDI abebenza unyaka wokuqala emanyuvesi bathi kumele bazibambe ziqine abazoqala nonyaka ngoba akusiniswa mahleza.
 USphilangenkosi Dlamini (20) waseJozini owayedabule o-A abayisithupha eMavela High nyakenye, uthe akakholwanga uma efika enyuvesi esephasa ngo-60% ezifundweni. USphilangenkosi oyokwenza unyaka wesibili kwiBachelor of Medicine and Surgery, e-University of KwaZulu-Natal (UKZN), ubona ukuthi ukwehla kwamamaki ezifundweni kwenziwa wukuthi muningi kakhulu umsebenzi enyuvesi.
",education
35,"OWESIFAZANE waKwaMashu owaphucwa izingane zakhe esolwa ngobudedengu, sekuphele iminyaka emibili elinde ukuthi zibuyiswe ngemuva kokuthi icala ayebekwe lona lihoxisiwe.
Lo wesifazane igama lakhe eligodliwe ukuvikela izingane uthe wayesolwa ngokunikela ngendodakazi yakhe esokeni lakhe elingayizali ukuthi liye nayo ocansini. Uthe wayesolwa ngokuthi akazange athathe izinyathelo ngesikhathi efica isoka lakhe lilele nendodakazi yakhe eyayineminyaka eyishumi ngesikhathi kwenzeka lokhu.
","crime, law and justice"
36,"UPHIKO lwentsha kaKhongolose eThekwini i-ANCYL lusale lukhwice imsila emuva kokuthi luthethiswe kanzima ubuholi benhlangano ngesenzo salo sokumemeza esidlangalaleni ukuthi akuxoshwe uNgqongqoshe wezeziMali uMnuz Pravin Gordhan.
Lolu phiko luphumele obala lwacela uMengameli Jacob Zuma ukuba akhombe indlela lo ngqongqoshe. Bebekhala ngokuthi wehluleke wancama ukuletha uguquko enkampanini yamabhanoyi kuleli, iSAA. Lolu phiko belusola uGordhan ngokuvumela idlanzana losomabhizinisi abamhlophe ukuba bahlomule kule nkampani kuvalelwe ngaphandle abamnyama.
",politics
37,"UKUKHULA ehlala emjondolo uthi yikhona okumnike ugqozi lokuthi abhale incwadi egqugquzela intsha ukuthi ingalilahli ithemba, umbhali osemncane waseThekwini.
UMnuz Ayanda Jwara (29) okhule ehlala emjondolo kwa-J eMlaza, uthi ulwazi kahle usizi lokukhula ehlala endlini eyodwa nomdeni wakhe njengoba ekhule belala ndawonye nabafowabo ababili, udadewabo nabazali bakhe. UJwara ubhale incwadi esihloko sithi: From Hell To Heaven, athi uhlose ngayo ukunikeza ithemba kulabo ababona sengathi impilo iyaphela ngenxa yobunzima abahlangabezana nabo. 
",society
38,"UMNDENI kasomatekisi waseMbulwana, eGreytown, usola amaphoyisa ngokushona kwelungu lawo, okuthiwa lipitshizwe imoto yamaphoyisa lashona, liyokhomba lapho lifihle khona isibhamu.
Umndeni kaMnuz Mdumiseni Mkhize (32) onamatekisi asuka eMbulwane aye eGreytown, usola ukuthi umufi ushone efakwe ishubhu, amaphoyisa afihla ukuthi useshonile amathatha ngeveni athi ubulawe yingozi yemoto.
","crime, law and justice"
39,"IZICATHULO, imifaniswano yesikole nezikhwama zesikole zisale zigcwele igazi ngaphansi kwetekisi ekushone kuyo abafundi abane abebelibangise esikoleni, izolo. Kube muncu izolo, okuwusuku obekulindeleke ukuthi lulethe injabulo kubafundi abaningi ababuyele esikoleni ngenxa yengozi yetekisi nebhasi eyenzeke emgwaqweni Ingcebo Drive eNtuzuma.
Kuqhume isililo kubazali, amalungu omphakathi nakuNgqongqoshe wezokuBusa ngokuBambisana nezoMdabu KwaZulu-Natal uNkk Nomusa Dube-Ncube ngesikhathi bebona indawo yesehlakalo. Endaweni yesigameko Isolezwe lifice itekisi elithwala abantu abangu-16 seliphenduke iqashana ngenxa yokuhlephuka kwalo. Emgwaqweni bekugcwele izinsimbi zemoto. Ibhasi likamasipala elishayisane netekisi belimi buqamama netekisi, lilimele kancane ngaphambili. 
","crime, law and justice"
40,"USEPHUTHWE ukuqala enyuvesi nonyaka umfundi waseLovu onenkinga kamazisi kusukela ngonyaka odlule.
UNosipho Mhlongo (18), obefunda uGrade 12 eSiyabonga Secondary School, bekumele enze unyaka wakhe wokuqala eDurban University of Technology (DUT) kodwa impilo imile emuva kokuba ingalungiseki ekamazisi. Elandisa Isolezwe uNosipho, uthe ubenaso isitifiketi sokuzalwa esinenombolo kamazisi kodwa inkinga yaqala sekumele ashaye umazisi.
",education
41,"KUTHUNGATHWA isosha elineminyaka engu-26 ngecala lokuvulela ngenhlamvu libulale udadewabo wentombi, kwalimala nabanye abathathu okubalwa nephoyisa.
Isosha okuvela ukuthi lisuke ngemoto yalo e-Upington, eNorthern Cape, lafika kubo kwentombi eBuhleni eNanda, lafuna intombi okuthiwa ingunina wengane yalo enezinyanga ezimbili. Kuthe uma lingayitholi lavulela ngenhlamvu kwalimala odadewabo bentombi ababili. 
","crime, law and justice"
42,"KUNXUSWA abantu ukuthi babophe izifociya ikakhulukazi labo abasebenzayo kodwa bengenzi imali etheni njengoba kulindelwe ukuthi inyuke intela abayikhokhayo.
Ngokusho kukaMnuz Dawie Roodt oyisazi somnotho esizimele, abantu bekufanele bayilalele kahle inkulumo kaMengameli Jacob Zuma ngoba beyindlalela okuzoshiwo nguNgqongqoshe weziMali, uMnuz Pravin Gordhan ozokwethula isabelomali maphakathi nenyanga. 
",politics
43,"UMKHULU oneminyaka engu-69 ugwetshwe yiNkantolo yeMantshi yaKwaDukuza iminyaka engu-45 ngamacala okudlwengula abazukulu.
Lo mkhulu waseGlendale, KwaDukuza, igama lakhe okungavumelekile livezwe ngenxa yokuhlobana nezisulu, ngecala lokudlwengula abazukulu bakhe ababili abaneminyaka ephakathi kuka-9 no 11, okwenzeka ngo-2014. Kuthiwa ubejwayele ukubabiza abazukulu ngesikhathi onina besemsebenzini bese ebanukubeza. Kuthiwa lokhu ukwenze izikhashana ephindelela kwaze kwaba ubanjwa umakhelwane othathe udaba walubika konina bezingane.
","crime, law and justice"
44,"UKHALA ngonya lomnikazi wesikhungo sekhaya labadala laKwaMashu umndeni wesalukazi esithathwe kulesi sikhungo isidumbu saso sesonakele ngemuva kokuthi benqwahe naso ngoba kuthiwa ukweleta imali yamanabukeni.
UNkk Eunice Makhathini (81) waKwaMashu kwa-J, obehlala esikhungweni sekhaya labadala iThembeni Old Age Home khona KwaMashu, kuthiwa umndeni wakhe uthole ucingo ngokushona kwakhe ngoLwesithathu ekuseni luvela kumphathi wesikhungo. 
","crime, law and justice"
45,"UMNDENI wowesifazane owasikwa amabele, ikhwapha nezinye izicubu zomzimba eSweetwaters, eMgungundlovu, ukhala ngophenyo lwamaphoyisa njengoba kungakaze kuboshwe muntu ngecala.
Umndeni uthi bahlukumezeka ngokugqunywa kwamanye amalungu omndeni esiteshini samaphoyisa kubhalwa nezitatimende kodwa kungaboshwa muntu. Isolezwe lithole ukuthi amanye amalungu omndeni abesesatshiswa ngamalungu omphakathi ngemuva kwesehlakalo sokubulawa kukaNksz Zodwa Madlala (34) esenzeka ngoJanuwari 15. UNksz Madlala watholwa ecwiyiwe ngaphandle kwakubo. 
","crime, law and justice"
46,"KUTHIWA bayanda abesifazane bakuleli abavuma ukuya ocansini ngosuku lokuqala behlangene nabesilisa abasanda kuthandana nabo. Lokhu kuvezwe wumbiko wocwaningo olwenziwe yi-website yabajolayo, iVictoria Milan. Ucwaningo lwenziwe kwabesifazane bakuleli abangu- 5 650 abangu-71% wabo bavuma ukuthi abalilindi ibhadi kodwa balala zisuka nje. Yize bengazibekanga izizathu kodwa bathe akuselona ihlazo ukuvuka emashidini ngosuku lokuqala nendoda.
 Abangu-56% bathe bathatha isinqumo sebevele bezikhiphile nendoda ukuthi bazovuma ukulala. Izindawo okujwayeleke ukuthi balale kuzo yisehhotela nasendlini yendoda. 
",society
47,"UKUDUTSHULWA kwabafowabo bedutshulwa nguyise ngoba kubangwa ugandaganda kuvuse iminjunju yokufa kukanina kuMnuz McIntosh Polela owayekhulumela oKlebe kuzwelonke.
UPolela uthe ngesikhathi ethola ucingo oluvela kumfowabo uMnuz Siyabonga Nzimande ngeSonto ntambama emtshela ngokulimala komunye umfowabo okuthiwa ulimale ngesikhathi uyise evulela ngenhlamvu ebhekise kubafowabo abathathu, uvele wavukelwa iminjunju yokubulawa kukanina.
","crime, law and justice"
